ID,Distributor Name,Location,Car Name,Manufacturer Name,Car Type,Color,Gearbox,Number of Seats,Number of Doors,Energy,Manufactured Year,Price-$,Mileage-KM,Engine Power-HP,Purchased Date,Car Sale Status,Sold Date,Purchased Price-$,Sold Price-$,Margin-%,Sales Agent Name,Sales Rating,Sales Commission-$,Feedback,Profit-$,Sale Month
CI4WUH,Carro,Chicago,Dzire,Maruti,Sedan,Gray,Manual,5,5,Hybrid,2015,8400,33246,100,2019-11-26,Un Sold,1970-01-01,6821,0,0,Hariom,3,0,Excellent,-6821,Jan 1970
2KH2GQ,Skipper,Texas,Creta,Hyundai,Hatchback,White,Manual,5,5,Diesel,2015,7000,52343,113,2017-12-22,Un Sold,1970-01-01,5497,0,0,Sai,3,0,Excellent,-5497,Jan 1970
8IQXS8,Zupps,New York,Thar,Mahindra,SUV,Red,Manual,5,3,Diesel,2019,8100,19580,130,2020-09-20,Un Sold,1970-01-01,7567,0,0,Sweta,3,0,Good,-7567,Jan 1970
LB6432,Carousell,Tennessee,Yodha,Tata,Truck,Red,Automatic,3,2,Diesel,2018,7700,14555,100,2020-09-05,Un Sold,1970-01-01,5724,0,0,Pavan,5,0,Good,-5724,Jan 1970
CBXGTC,Carro,San Jose,Kags,Renault,SUV,Blue,Automatic,7,5,Diesel,2020,8000,81213,175,2017-08-17,Un Sold,1970-01-01,6809,0,0,Dhruv,4,0,Good,-6809,Jan 1970
FRLKMV,Sobri,San Jose,Etriga,Maruti,Hatchback,Black,Automatic,4,5,Diesel,2019,6600,35099,103,2015-02-08,Un Sold,1970-01-01,5574,0,0,Sai,2,0,Excellent,-5574,Jan 1970
FLCN36,Carmix,Denver,Scorpio,Mahindra,SUV,Blue,Manual,5,5,Petrol,2020,7900,40298,120,2022-03-28,Un Sold,1970-01-01,6981,0,0,Shailaja,4,0,Excellent,-6981,Jan 1970
IN4QR9,Kamkar,Madison,Yodha,Tata,Truck,Gray,Automatic,3,2,Petrol,2015,7900,63741,100,2018-10-07,Un Sold,1970-01-01,6178,0,0,Swathi,4,0,Average,-6178,Jan 1970
SV0HSL,Nufor,Florida,Scorpio,Mahindra,SUV,Gray,Automatic,5,5,Electric,2024,9000,63435,120,2017-11-24,Un Sold,1970-01-01,7845,0,0,Pavan,4,0,Poor,-7845,Jan 1970
XOV9CJ,Carmix,Tucson,Dzire,Maruti,Sedan,Blue,Automatic,5,5,Hybrid,2017,8200,96843,100,2016-08-06,Un Sold,1970-01-01,6801,0,0,Shruthi,1,0,Excellent,-6801,Jan 1970
YWPQN6,Zupps,Denver,Thar,Mahindra,SUV,Blue,Manual,5,3,Hybrid,2023,8600,63224,130,2015-06-04,Un Sold,1970-01-01,7281,0,0,Shruthi,5,0,Average,-7281,Jan 1970
BN0J5D,Oto,Portland,Scorpio,Mahindra,SUV,Red,Manual,5,5,Electric,2018,9600,25960,120,2019-09-04,Un Sold,1970-01-01,7911,0,0,Karan,3,0,Average,-7911,Jan 1970
ZC1OT0,Trust,Columbus,Etriga,Maruti,Hatchback,White,Automatic,4,5,Electric,2018,8100,38886,103,2017-04-18,Sold,2017-06-20,6836,8014,17,Vihaan,3,236,Average,1178,Jun 2017
370IXH,Oto,Portland,i20,Hyundai,Hatchback,Red,Manual,4,5,Hybrid,2019,7500,38781,120,2022-02-21,Un Sold,1970-01-01,6595,0,0,Rithvik,5,0,Average,-6595,Jan 1970
DS41WH,Carmudi,Chicago,Seltos,Kia,Hatchback,Red,Manual,5,5,Hybrid,2015,7900,30823,150,2021-09-15,Un Sold,1970-01-01,7362,0,0,Karan,2,0,Excellent,-7362,Jan 1970
PKLZLZ,Marchi,Tucson,Etriga,Maruti,Hatchback,Blue,Automatic,4,5,Electric,2021,7800,74892,103,2017-06-28,Sold,2024-10-20,6411,5762,-10,Vishwajeet,2,0,Excellent,-649,Oct 2024
5HY4KI,Trivett,Utah,Seltos,Kia,Hatchback,Black,Automatic,5,5,Hybrid,2020,7400,15375,150,2019-08-25,Un Sold,1970-01-01,5789,0,0,Rithvik,2,0,Average,-5789,Jan 1970
YSCOQA,Marchi,Detroit,Yodha,Tata,Truck,Black,Manual,3,2,Petrol,2021,7300,21621,100,2020-06-13,Un Sold,1970-01-01,5541,0,0,Bhavani,5,0,Good,-5541,Jan 1970
SPM9AO,Sobri,Portland,Scorpio,Mahindra,SUV,Gray,Manual,5,5,Diesel,2021,7900,2893,120,2023-10-07,Un Sold,1970-01-01,6680,0,0,Bhavani,3,0,Average,-6680,Jan 1970
TE9Y2C,Skipper,North Carolina,Yodha,Tata,Truck,Gray,Automatic,3,2,Hybrid,2023,8100,58174,100,2022-02-22,Un Sold,1970-01-01,6742,0,0,Shiva,4,0,Good,-6742,Jan 1970
38P60H,Carousell,California,Yodha,Tata,Truck,White,Automatic,3,2,Hybrid,2023,8100,7891,100,2016-01-28,Un Sold,1970-01-01,7377,0,0,Bhavani,4,0,Excellent,-7377,Jan 1970
2GNE90,Automart,Detroit,Creta,Hyundai,Hatchback,Black,Manual,5,5,Electric,2018,8100,50662,113,2017-08-31,Un Sold,1970-01-01,6441,0,0,Shiva,5,0,Poor,-6441,Jan 1970
093OOJ,Olx,Tennessee,Thar,Mahindra,SUV,Black,Automatic,5,3,Electric,2016,9800,46032,130,2018-12-31,Sold,2018-07-29,8962,9036,1,Aditya,2,15,Good,74,Jul 2018
YNX3X4,Nufor,Detroit,Seltos,Kia,Hatchback,Blue,Manual,5,5,Petrol,2018,6600,60454,150,2021-09-01,Un Sold,1970-01-01,5326,0,0,Aditya,4,0,Average,-5326,Jan 1970
VNPVOQ,Knox,New York,Scorpio,Mahindra,SUV,Red,Automatic,5,5,Hybrid,2016,9300,9958,120,2024-12-15,Un Sold,1970-01-01,8522,0,0,Vihaan,2,0,Excellent,-8522,Jan 1970
5SS0FK,Trust,Philadelphia,Swift,Maruti,Sedan,Blue,Automatic,5,4,Diesel,2022,6800,16327,115,2022-06-24,Un Sold,1970-01-01,5895,0,0,Pavan,2,0,Good,-5895,Jan 1970
NLWVTL,Carsome,Madison,Etriga,Maruti,Hatchback,Red,Manual,4,5,Hybrid,2022,7200,86120,103,2015-10-08,Un Sold,1970-01-01,5228,0,0,Pranav,5,0,Average,-5228,Jan 1970
J4GKAY,Knox,New York,Swift,Maruti,Sedan,Gray,Automatic,5,4,Petrol,2022,6700,51781,115,2016-02-17,Un Sold,1970-01-01,5338,0,0,Bhavani,5,0,Average,-5338,Jan 1970
BAZP3H,Trivett,Florida,i20,Hyundai,Hatchback,Black,Manual,4,5,Diesel,2017,6800,11245,120,2022-03-23,Un Sold,1970-01-01,5439,0,0,Sai,2,0,Poor,-5439,Jan 1970
XC1SDE,Oto,New York,Etriga,Maruti,Hatchback,Black,Manual,4,5,Petrol,2017,6700,43645,103,2024-03-18,Un Sold,1970-01-01,4842,0,0,Shailaja,5,0,Average,-4842,Jan 1970
SZ30NC,Motor,Columbus,Dzire,Maruti,Sedan,Red,Manual,5,5,Diesel,2024,6600,55686,100,2015-01-25,Un Sold,1970-01-01,5797,0,0,Narayan,1,0,Average,-5797,Jan 1970
PMU31H,Trust,Detroit,Hilux,Toyota,Truck,Blue,Automatic,4,2,Diesel,2015,8000,9128,200,2020-01-04,Un Sold,1970-01-01,6882,0,0,Vihaan,5,0,Excellent,-6882,Jan 1970
ZTH3FB,Carmix,Texas,Dzire,Maruti,Sedan,Black,Manual,5,5,Diesel,2022,6800,9363,100,2018-07-05,Un Sold,1970-01-01,5624,0,0,Hariom,2,0,Excellent,-5624,Jan 1970
14I3SI,Automart,Madison,Kags,Renault,SUV,Black,Automatic,7,5,Hybrid,2021,8800,10247,175,2019-04-07,Un Sold,1970-01-01,8298,0,0,Rithvik,3,0,Good,-8298,Jan 1970
XWSI2S,Motor,New York,Etriga,Maruti,Hatchback,Blue,Automatic,4,5,Petrol,2018,6600,69391,103,2017-01-25,Un Sold,1970-01-01,5425,0,0,Shiva,1,0,Good,-5425,Jan 1970
NH3QW9,Carousell,Madison,i20,Hyundai,Hatchback,Blue,Manual,4,5,Diesel,2023,6200,72607,120,2015-01-13,Un Sold,1970-01-01,4249,0,0,Vihaan,2,0,Excellent,-4249,Jan 1970
K8IHP2,Automart,Florida,Etriga,Maruti,Hatchback,Blue,Automatic,4,5,Hybrid,2024,7000,39836,103,2016-08-15,Un Sold,1970-01-01,6377,0,0,Preeti,2,0,Excellent,-6377,Jan 1970
DOZM5N,Kamkar,Detroit,Kags,Renault,SUV,Blue,Manual,7,5,Electric,2022,9200,15426,175,2024-08-07,Un Sold,1970-01-01,8521,0,0,Supriya,3,0,Excellent,-8521,Jan 1970
IB62JF,Trivett,Utah,Creta,Hyundai,Hatchback,Red,Automatic,5,5,Diesel,2022,6300,51511,113,2018-08-27,Un Sold,1970-01-01,5216,0,0,Aditya,2,0,Excellent,-5216,Jan 1970
DPYZJ3,Kamkar,Oklahoma,i20,Hyundai,Hatchback,Black,Automatic,4,5,Petrol,2018,6600,78832,120,2016-02-19,Sold,2016-05-23,5969,6190,4,Krishna,5,44,Good,221,May 2016
9IH9L3,Zupps,North Carolina,Yodha,Tata,Truck,White,Automatic,3,2,Hybrid,2018,8600,30076,100,2018-08-02,Un Sold,1970-01-01,7755,0,0,Shruthi,3,0,Excellent,-7755,Jan 1970
L4FPP5,Cars24,Denver,i20,Hyundai,Hatchback,Blue,Automatic,4,5,Petrol,2020,6400,13883,120,2024-08-28,Un Sold,1970-01-01,5381,0,0,Shruthi,3,0,Average,-5381,Jan 1970
HB0NSL,Kamkar,Madison,Dzire,Maruti,Sedan,Black,Automatic,5,5,Electric,2022,8200,92241,100,2019-02-13,Un Sold,1970-01-01,6207,0,0,Sweta,3,0,Poor,-6207,Jan 1970
2QAAFM,Trust,California,Dzire,Maruti,Sedan,Gray,Manual,5,5,Electric,2016,8800,57025,100,2016-08-08,Un Sold,1970-01-01,6909,0,0,Bhavani,3,0,Poor,-6909,Jan 1970
Y1Z493,Trivett,California,Creta,Hyundai,Hatchback,Blue,Automatic,5,5,Petrol,2020,6400,91032,113,2021-02-21,Un Sold,1970-01-01,5170,0,0,Rithvik,3,0,Excellent,-5170,Jan 1970
0ZXV2M,Skipper,Texas,Kags,Renault,SUV,Red,Automatic,7,5,Petrol,2024,7500,83491,175,2018-06-10,Sold,2019-05-29,6232,6118,-2,Hariom,5,0,Excellent,-114,May 2019
YRW408,Motor,Portland,Scorpio,Mahindra,SUV,Red,Manual,5,5,Hybrid,2019,9000,44116,120,2017-02-02,Un Sold,1970-01-01,7558,0,0,Ram,4,0,Poor,-7558,Jan 1970
OYUZXV,Kamkar,Tennessee,Thar,Mahindra,SUV,Gray,Automatic,5,3,Petrol,2024,7500,47126,130,2024-03-12,Un Sold,1970-01-01,5581,0,0,Rithvik,1,0,Good,-5581,Jan 1970
SJWV5N,Kamkar,North Carolina,Etriga,Maruti,Hatchback,Blue,Manual,4,5,Diesel,2021,6400,5720,103,2019-01-02,Un Sold,1970-01-01,5111,0,0,Arjuna,2,0,Average,-5111,Jan 1970
8BNSB4,Kamkar,Madison,Hilux,Toyota,Truck,Blue,Automatic,4,2,Electric,2018,9100,15160,200,2015-03-31,Un Sold,1970-01-01,8457,0,0,Pavan,4,0,Average,-8457,Jan 1970
LSVXNA,Carsome,Tennessee,Plato,Prazo,Convertible,Black,Automatic,2,2,Diesel,2016,9400,94864,250,2021-11-06,Sold,2023-12-15,7530,7768,3,Rithvik,2,48,Excellent,238,Dec 2023
67Y85B,Oto,Chicago,Creta,Hyundai,Hatchback,Red,Manual,5,5,Diesel,2015,7000,4967,113,2016-01-06,Sold,2016-03-26,6308,6964,10,Sai,4,131,Poor,656,Mar 2016
YZSAPS,Nufor,Philadelphia,Seltos,Kia,Hatchback,Blue,Manual,5,5,Diesel,2016,6900,61102,150,2024-08-09,Un Sold,1970-01-01,5825,0,0,Ram,2,0,Good,-5825,Jan 1970
TSZ4O1,Carsome,Florida,Hilux,Toyota,Truck,Blue,Automatic,4,2,Electric,2018,9100,62857,200,2015-06-19,Sold,2024-11-27,8255,8424,2,Shilpa,3,34,Excellent,169,Nov 2024
ZDVK1Q,Trust,Utah,Swift,Maruti,Sedan,Black,Manual,5,4,Electric,2021,8300,82148,115,2018-11-28,Un Sold,1970-01-01,6430,0,0,Anushka,3,0,Average,-6430,Jan 1970
7PGOLE,Motor,Madison,Seltos,Kia,Hatchback,Red,Automatic,5,5,Electric,2022,7700,78076,150,2016-05-16,Un Sold,1970-01-01,6939,0,0,Shilpa,4,0,Excellent,-6939,Jan 1970
R0KFD0,Carsome,Texas,Seltos,Kia,Hatchback,Blue,Manual,5,5,Electric,2016,8300,73991,150,2015-02-24,Un Sold,1970-01-01,7149,0,0,Swathi,3,0,Poor,-7149,Jan 1970
SOMEIN,Marchi,Tennessee,Fortuner,Toyota,SUV,Red,Manual,8,5,Hybrid,2021,8800,91020,200,2017-11-28,Un Sold,1970-01-01,7375,0,0,Rithvik,4,0,Average,-7375,Jan 1970
GMMWB2,Carmudi,Oklahoma,Scorpio,Mahindra,SUV,Blue,Automatic,5,5,Petrol,2017,8200,46892,120,2018-01-26,Un Sold,1970-01-01,7271,0,0,Shruthi,5,0,Good,-7271,Jan 1970
F8A3WC,Olx,Denver,Yodha,Tata,Truck,Blue,Automatic,3,2,Hybrid,2023,8100,36640,100,2018-06-14,Un Sold,1970-01-01,6408,0,0,Vihaan,4,0,Good,-6408,Jan 1970
B4DTDI,Trivett,Tennessee,Swift,Maruti,Sedan,Blue,Manual,5,4,Petrol,2016,7300,48522,115,2020-01-22,Un Sold,1970-01-01,6780,0,0,Vihaan,3,0,Average,-6780,Jan 1970
CDWQJO,Carmix,Detroit,Thar,Mahindra,SUV,White,Manual,5,3,Diesel,2016,8400,45621,130,2022-12-19,Un Sold,1970-01-01,6803,0,0,Shilpa,3,0,Good,-6803,Jan 1970
24PFAA,Carsome,California,Yodha,Tata,Truck,Gray,Manual,3,2,Diesel,2023,7200,47800,100,2021-02-10,Sold,2022-02-01,5750,5508,-4,Aarush,3,0,Excellent,-242,Feb 2022
VOMTLZ,Motor,Columbus,Fortuner,Toyota,SUV,Blue,Automatic,8,5,Hybrid,2015,9400,53953,200,2016-04-23,Un Sold,1970-01-01,7444,0,0,Shiva,3,0,Poor,-7444,Jan 1970
XHHVEJ,Ahg,Columbus,Scorpio,Mahindra,SUV,Black,Manual,5,5,Diesel,2024,7600,20677,120,2018-07-23,Un Sold,1970-01-01,6152,0,0,Sai,2,0,Good,-6152,Jan 1970
GSCA0U,Ahg,Columbus,Creta,Hyundai,Hatchback,Red,Manual,5,5,Hybrid,2015,7900,62626,113,2022-07-10,Un Sold,1970-01-01,6306,0,0,Shilpa,4,0,Good,-6306,Jan 1970
M2JTHS,Carmudi,California,Plato,Prazo,Convertible,Gray,Manual,2,2,Diesel,2023,8700,14633,250,2019-04-26,Sold,2022-10-10,7455,6991,-6,Sai,5,0,Good,-464,Oct 2022
SRDCMV,Nufor,San Jose,Swift,Maruti,Sedan,Red,Manual,5,4,Electric,2020,8400,10360,115,2015-10-29,Un Sold,1970-01-01,6742,0,0,Shailaja,1,0,Good,-6742,Jan 1970
S04SAI,Ahg,Utah,Seltos,Kia,Hatchback,Black,Automatic,5,5,Electric,2021,7800,94296,150,2016-04-10,Un Sold,1970-01-01,6632,0,0,Krishna,5,0,Average,-6632,Jan 1970
7MEDOD,Knox,Utah,Swift,Maruti,Sedan,Blue,Manual,5,4,Petrol,2018,7100,71331,115,2018-07-31,Un Sold,1970-01-01,6513,0,0,Krishna,5,0,Good,-6513,Jan 1970
T9SPDE,Kamkar,Tucson,Creta,Hyundai,Hatchback,Gray,Manual,5,5,Hybrid,2023,7100,91923,113,2020-06-03,Un Sold,1970-01-01,5959,0,0,Shruthi,4,0,Average,-5959,Jan 1970
138O7W,Zupps,Philadelphia,Dzire,Maruti,Sedan,Red,Manual,5,5,Hybrid,2018,8100,4683,100,2019-10-26,Un Sold,1970-01-01,6277,0,0,Arjuna,1,0,Average,-6277,Jan 1970
0R0177,Kamkar,Denver,Scorpio,Mahindra,SUV,Black,Manual,5,5,Hybrid,2017,9200,81508,120,2023-06-16,Sold,2023-08-28,7310,7532,3,Ram,2,44,Good,222,Aug 2023
6WMOER,Carousell,California,Kags,Renault,SUV,White,Manual,7,5,Diesel,2019,8100,82433,175,2019-11-18,Un Sold,1970-01-01,6505,0,0,Pavan,3,0,Excellent,-6505,Jan 1970
R7WUUY,Trust,San Jose,Thar,Mahindra,SUV,Blue,Automatic,5,3,Electric,2019,9500,34720,130,2020-05-15,Un Sold,1970-01-01,8459,0,0,Ram,3,0,Average,-8459,Jan 1970
ZNO9N3,Oto,Columbus,Seltos,Kia,Hatchback,Red,Manual,5,5,Electric,2024,7500,20371,150,2018-03-15,Sold,2020-01-27,6233,6595,6,Piyush,4,72,Excellent,362,Jan 2020
NH3PEC,Trust,Texas,Scorpio,Mahindra,SUV,Gray,Automatic,5,5,Hybrid,2022,8700,52175,120,2015-01-29,Un Sold,1970-01-01,7832,0,0,Krishna,2,0,Good,-7832,Jan 1970
9HKET8,Nufor,Portland,Thar,Mahindra,SUV,Black,Manual,5,3,Electric,2023,9100,20879,130,2019-07-31,Un Sold,1970-01-01,7667,0,0,Shiva,1,0,Poor,-7667,Jan 1970
K6KPIA,Skipper,Columbus,Yodha,Tata,Truck,Blue,Automatic,3,2,Hybrid,2019,8500,69401,100,2019-03-10,Un Sold,1970-01-01,7600,0,0,Aarush,4,0,Average,-7600,Jan 1970
C193XK,Kamkar,Madison,i20,Hyundai,Hatchback,Blue,Manual,4,5,Diesel,2020,6500,19773,120,2022-03-06,Un Sold,1970-01-01,4505,0,0,Pavan,1,0,Average,-4505,Jan 1970
TZCHNN,Ahg,North Carolina,Yodha,Tata,Truck,Gray,Manual,3,2,Electric,2021,8800,23663,100,2015-01-14,Un Sold,1970-01-01,7188,0,0,Karan,2,0,Excellent,-7188,Jan 1970
H0ZO94,Zupps,Denver,Kags,Renault,SUV,Red,Manual,7,5,Petrol,2022,7700,50164,175,2017-03-27,Un Sold,1970-01-01,5767,0,0,Piyush,4,0,Average,-5767,Jan 1970
IETZBO,Ahg,Florida,Plato,Prazo,Convertible,Red,Automatic,2,2,Petrol,2020,8900,40068,250,2022-05-06,Sold,2022-08-03,7212,7514,4,Sai,1,60,Good,302,Aug 2022
G2LTMO,Oto,Chicago,Scorpio,Mahindra,SUV,Blue,Automatic,5,5,Petrol,2021,7800,49854,120,2018-01-30,Un Sold,1970-01-01,7169,0,0,Bhavani,4,0,Poor,-7169,Jan 1970
MANQLA,Knox,San Jose,Plato,Prazo,Convertible,Black,Manual,2,2,Electric,2015,10900,9556,250,2017-12-23,Un Sold,1970-01-01,10186,0,0,Shailaja,2,0,Average,-10186,Jan 1970
PK1FQ2,Nufor,New York,Plato,Prazo,Convertible,White,Manual,2,2,Diesel,2016,9400,20263,250,2019-04-06,Un Sold,1970-01-01,8121,0,0,Aarush,5,0,Excellent,-8121,Jan 1970
HV1BG2,Motor,San Jose,Dzire,Maruti,Sedan,Blue,Automatic,5,5,Hybrid,2015,8400,15472,100,2021-07-03,Sold,2022-09-17,7392,7774,5,Rithvik,4,76,Excellent,382,Sep 2022
XFXVJT,Automart,Denver,Creta,Hyundai,Hatchback,White,Automatic,5,5,Diesel,2021,6400,76752,113,2018-08-09,Un Sold,1970-01-01,5781,0,0,Aditya,1,0,Good,-5781,Jan 1970
C6EVJM,Oto,Columbus,Fortuner,Toyota,SUV,Blue,Manual,8,5,Diesel,2023,7700,10455,200,2024-01-11,Un Sold,1970-01-01,6028,0,0,Arjuna,1,0,Excellent,-6028,Jan 1970
2U0I41,Zupps,Tucson,Dzire,Maruti,Sedan,Black,Automatic,5,5,Electric,2018,8600,51115,100,2017-12-23,Un Sold,1970-01-01,7274,0,0,Karan,5,0,Average,-7274,Jan 1970
O79N6U,Trivett,Oklahoma,Yodha,Tata,Truck,Red,Automatic,3,2,Hybrid,2022,8200,59172,100,2018-09-21,Sold,2018-06-09,6793,6844,1,Shiva,5,10,Excellent,51,Jun 2018
A90I0V,Trust,Denver,Hilux,Toyota,Truck,Gray,Automatic,4,2,Diesel,2020,7500,17933,200,2022-09-11,Sold,2022-08-12,5723,5856,2,Karan,4,27,Good,133,Aug 2022
3B0HH7,Oto,Detroit,Fortuner,Toyota,SUV,White,Automatic,8,5,Petrol,2015,8400,52853,200,2020-03-17,Un Sold,1970-01-01,7132,0,0,Swapna,3,0,Excellent,-7132,Jan 1970
QHT955,Ahg,North Carolina,Swift,Maruti,Sedan,Black,Manual,5,4,Diesel,2015,7500,13062,115,2023-08-31,Sold,2024-06-06,6569,5722,-13,Bhavani,5,0,Good,-847,Jun 2024
T4KA1Q,Kamkar,New York,Dzire,Maruti,Sedan,Black,Automatic,5,5,Hybrid,2020,7900,42889,100,2017-09-05,Un Sold,1970-01-01,7367,0,0,Swathi,3,0,Poor,-7367,Jan 1970
3SP2HJ,Carousell,Philadelphia,Etriga,Maruti,Hatchback,Black,Automatic,4,5,Petrol,2018,6600,86180,103,2024-05-17,Un Sold,1970-01-01,5140,0,0,Vihaan,5,0,Poor,-5140,Jan 1970
3TOLV8,Marchi,Detroit,Creta,Hyundai,Hatchback,Gray,Automatic,5,5,Electric,2019,8000,17378,113,2018-01-01,Sold,2023-05-06,6108,6348,4,Shilpa,4,48,Excellent,240,May 2023
MKN2KL,Carmudi,Denver,Hilux,Toyota,Truck,Red,Automatic,4,2,Hybrid,2023,8100,35495,200,2023-03-21,Un Sold,1970-01-01,7379,0,0,Swathi,2,0,Poor,-7379,Jan 1970
E1JV98,Marchi,Florida,Thar,Mahindra,SUV,Black,Automatic,5,3,Hybrid,2024,8500,36643,130,2021-01-07,Un Sold,1970-01-01,7710,0,0,Rithvik,4,0,Excellent,-7710,Jan 1970
5SUGLK,Automart,Chicago,Kags,Renault,SUV,Gray,Manual,7,5,Diesel,2015,8500,16917,175,2018-07-11,Un Sold,1970-01-01,7838,0,0,Arjuna,1,0,Good,-7838,Jan 1970
1X5KIQ,APE,Texas,Swift,Maruti,Sedan,Gray,Manual,5,4,Hybrid,2018,8100,98059,115,2017-05-06,Un Sold,1970-01-01,6547,0,0,Hariom,2,0,Good,-6547,Jan 1970
X56AZL,Knox,Portland,Fortuner,Toyota,SUV,White,Manual,8,5,Petrol,2019,8000,76342,200,2016-11-23,Un Sold,1970-01-01,6276,0,0,Sweta,1,0,Average,-6276,Jan 1970
6Z9MNL,Carro,Utah,Fortuner,Toyota,SUV,Red,Manual,8,5,Hybrid,2021,8800,12214,200,2024-01-10,Un Sold,1970-01-01,7370,0,0,Dhruv,2,0,Good,-7370,Jan 1970
I2LYRC,Skipper,North Carolina,Yodha,Tata,Truck,Red,Automatic,3,2,Petrol,2023,7100,23228,100,2017-02-26,Un Sold,1970-01-01,5489,0,0,Shruthi,1,0,Average,-5489,Jan 1970
KD6SPV,Sobri,Tennessee,Creta,Hyundai,Hatchback,Red,Manual,5,5,Hybrid,2021,7300,51221,113,2020-05-01,Un Sold,1970-01-01,6330,0,0,Krishna,2,0,Poor,-6330,Jan 1970
5O940Q,Skipper,California,Seltos,Kia,Hatchback,Red,Automatic,5,5,Petrol,2022,6200,46684,150,2017-06-18,Un Sold,1970-01-01,4754,0,0,Sai,3,0,Excellent,-4754,Jan 1970
P4PAIT,Ahg,Denver,i20,Hyundai,Hatchback,White,Automatic,4,5,Electric,2023,7600,89909,120,2020-07-11,Un Sold,1970-01-01,5804,0,0,Shailaja,2,0,Good,-5804,Jan 1970
2T0H67,Carsome,Florida,Thar,Mahindra,SUV,Blue,Manual,5,3,Diesel,2023,7700,34383,130,2018-10-20,Sold,2023-07-14,6845,8069,18,Swathi,2,245,Poor,1224,Jul 2023
159HCR,Trust,Tennessee,i20,Hyundai,Hatchback,Blue,Manual,4,5,Diesel,2019,6600,69996,120,2016-01-10,Sold,2018-12-24,4749,5570,17,Anushka,3,164,Excellent,821,Dec 2018
V575BY,Trust,Oklahoma,Fortuner,Toyota,SUV,Black,Manual,8,5,Diesel,2016,8400,72869,200,2019-05-15,Un Sold,1970-01-01,7836,0,0,Swapna,3,0,Good,-7836,Jan 1970
M1DUT0,Zupps,Columbus,Creta,Hyundai,Hatchback,Black,Manual,5,5,Diesel,2022,6300,94718,113,2022-08-27,Sold,2023-11-14,5437,4645,-15,Sweta,3,0,Good,-792,Nov 2023
D2B3VB,Ahg,San Jose,Seltos,Kia,Hatchback,Blue,Automatic,5,5,Diesel,2023,6200,30414,150,2019-02-02,Un Sold,1970-01-01,5678,0,0,Supriya,4,0,Average,-5678,Jan 1970
XQM07F,Motor,Madison,Yodha,Tata,Truck,Red,Manual,3,2,Diesel,2017,7800,90509,100,2024-01-24,Sold,2024-10-18,6911,6715,-3,Ram,1,0,Excellent,-196,Oct 2024
TJARWR,Zupps,Tucson,Yodha,Tata,Truck,White,Automatic,3,2,Electric,2024,8500,36203,100,2020-01-09,Un Sold,1970-01-01,7270,0,0,Shiva,3,0,Good,-7270,Jan 1970
9DCWZX,Olx,California,i20,Hyundai,Hatchback,Gray,Manual,4,5,Electric,2022,7700,30837,120,2022-07-13,Un Sold,1970-01-01,6950,0,0,Swathi,3,0,Average,-6950,Jan 1970
S3XZ79,Motor,Texas,Etriga,Maruti,Hatchback,Blue,Manual,4,5,Petrol,2015,6900,9164,103,2020-06-21,Un Sold,1970-01-01,5544,0,0,Preeti,2,0,Excellent,-5544,Jan 1970
V39YOD,Olx,Texas,Fortuner,Toyota,SUV,Red,Automatic,8,5,Diesel,2020,8000,36451,200,2020-05-19,Un Sold,1970-01-01,6126,0,0,Piyush,1,0,Average,-6126,Jan 1970
235ENA,Cars24,Tucson,Swift,Maruti,Sedan,Black,Manual,5,4,Diesel,2022,6800,3494,115,2024-10-11,Un Sold,1970-01-01,5573,0,0,Vihaan,1,0,Excellent,-5573,Jan 1970
GHDO1O,Oto,Tennessee,Creta,Hyundai,Hatchback,White,Manual,5,5,Hybrid,2016,7800,90425,113,2016-07-03,Un Sold,1970-01-01,6867,0,0,Arjuna,2,0,Excellent,-6867,Jan 1970
N0YWXS,Carousell,Madison,Scorpio,Mahindra,SUV,Blue,Automatic,5,5,Petrol,2022,7700,76001,120,2018-06-20,Sold,2023-11-11,6202,6194,0,Hariom,4,0,Excellent,-8,Nov 2023
CK2D1Z,Oto,Tennessee,Scorpio,Mahindra,SUV,Blue,Manual,5,5,Hybrid,2020,8900,7810,120,2020-10-12,Sold,2024-06-02,7915,8501,7,Vishwajeet,4,117,Good,586,Jun 2024
FT04CL,Carsome,Denver,Yodha,Tata,Truck,Black,Automatic,3,2,Petrol,2024,7000,33575,100,2023-05-11,Un Sold,1970-01-01,5646,0,0,Anushka,5,0,Excellent,-5646,Jan 1970
BHV1L3,Zupps,North Carolina,Kags,Renault,SUV,White,Automatic,7,5,Petrol,2022,7700,39188,175,2017-01-18,Sold,2020-12-12,6714,6690,0,Karan,3,0,Average,-24,Dec 2020
IPLG1C,Knox,Utah,Thar,Mahindra,SUV,Gray,Automatic,5,3,Hybrid,2022,8700,53919,130,2018-03-07,Sold,2021-08-04,7712,7378,-4,Preeti,2,0,Good,-334,Aug 2021
6L3H52,Cars24,Tucson,i20,Hyundai,Hatchback,Black,Manual,4,5,Petrol,2019,6500,3556,120,2022-04-18,Un Sold,1970-01-01,4698,0,0,Swapna,2,0,Excellent,-4698,Jan 1970
J8S8UM,Kamkar,San Jose,Swift,Maruti,Sedan,Black,Manual,5,4,Petrol,2018,7100,39179,115,2022-03-02,Un Sold,1970-01-01,6195,0,0,Karan,3,0,Excellent,-6195,Jan 1970
